Model,Macro-F1,Accuracy,F1-Neg,F1-Neu,F1-Pos,Time(s)
M1_LR,0.5784,0.5882,0.5661,0.6188,0.5503,0.0
M1_SVM,0.5943,0.6097,0.5584,0.6542,0.5704,0.0
M1_XGB,0.4987,0.5739,0.3038,0.6779,0.5145,0.0
M2_RF,0.5558,0.5790,0.4923,0.6447,0.5304,0.0
M2_XGB,0.5539,0.5788,0.4916,0.6474,0.5227,0.0
M2_LR,0.5367,0.5615,0.4621,0.6304,0.5175,0.0
M3,0.5898,0.6145,0.5221,0.6748,0.5725,0.0
M4_LR,0.6203,0.6355,0.5767,0.6779,0.6064,0.0
M4_LGB,0.6250,0.6375,0.5957,0.6738,0.6056,0.0
M5,0.7182,0.7178,0.7451,0.7030,0.7064,5.1
